name,location,line,votes,clears,createdAt,lastConfirmedAt
"Overcrowded platform","Davis","Red Line - Southbound",9,7,2015-02-25T13:11:38.365Z,2015-02-25T13:51:28.547Z
"Delayed train","Park Street","Red Line - Southbound",0,0,2015-06-05T02:13:30.252Z,2015-06-05T02:13:30.252Z
"Train too crowded to board","Assembly","Orange Line - Southbound",5,1,2015-02-26T13:57:15.886Z,2015-02-26T14:08:59.229Z
"Train stopped between stations","Charles/MGH","Red Line - Northbound",0,0,2015-03-31T00:37:56.936Z,2015-03-31T00:37:56.936Z
"Train too crowded to board","JFK/UMass","Red Line - Northbound",1,0,2015-04-07T13:09:43.769Z,2015-04-07T13:14:47.787Z
"Train too crowded to board","South Station","Red Line - Southbound",0,0,2015-06-10T22:20:17.234Z,2015-06-10T22:20:17.234Z
"Normal conditions","Downtown Crossing","Red Line - Northbound",0,0,2015-02-26T00:08:34.575Z,2015-02-26T00:08:34.575Z
"Delayed train","South Station","Framingham-Worcester Line - Outbound",0,0,2015-03-18T21:19:51.775Z,2015-03-18T21:19:51.775Z
"Train stopped between stations","Kendall","Red Line - Southbound",1,0,2015-03-10T20:43:35.905Z,2015-03-10T20:46:09.419Z
"Normal conditions","Quincy Center","Red Line - Southbound",0,0,2015-03-12T22:07:47.632Z,2015-03-12T22:07:47.632Z
"Medical emergency","Wonderland","Blue Line - Northbound",0,0,2015-02-26T21:55:56.010Z,2015-02-26T21:55:56.010Z
"Train too crowded to board","Sullivan Square","Orange Line - Southbound",0,0,2015-07-08T12:29:48.364Z,2015-07-08T12:29:48.364Z
"Train standing by at station","Park Street","Green Line C - Westbound",0,0,2015-07-27T19:38:13.413Z,2015-07-27T19:38:13.413Z
"Disabled train","Downtown Crossing","Orange Line - Southbound",0,0,2015-07-29T22:18:12.425Z,2015-07-29T22:18:12.425Z
"Overcrowded platform","State","Blue Line - Northbound",0,0,2015-07-21T20:27:04.299Z,2015-07-21T20:27:04.299Z
"Delayed train","Wellington","Orange Line - Southbound",1,0,2015-03-09T12:33:31.290Z,2015-03-09T12:34:21.950Z
"Police action","Downtown Crossing","Orange Line - Northbound",0,0,2015-05-08T23:08:57.970Z,2015-05-08T23:08:57.970Z
"Disabled train","Fenway","Green Line D - Westbound",0,0,2015-04-03T21:38:40.757Z,2015-04-03T21:38:40.757Z
"Train too crowded to board","Readville","Fairmount Line - Inbound",0,0,2015-03-21T13:02:18.266Z,2015-03-21T13:02:18.266Z
"Delayed train","Lechmere","Green Line E - Eastbound",0,0,2015-03-01T12:57:25.325Z,2015-03-01T12:57:25.325Z
"Delayed train","Park Street","Red Line - Southbound",1,0,2015-05-18T22:10:51.102Z,2015-05-18T22:18:16.873Z
"Overcrowded train","South Station","Red Line - Southbound",1,0,2015-03-03T23:06:44.593Z,2015-03-03T23:08:39.245Z
"Train too crowded to board","JFK/UMass","Red Line - Northbound",0,0,2015-06-03T11:59:28.327Z,2015-06-03T11:59:28.327Z
"Overcrowded platform","Park Street","Red Line - Southbound",0,0,2015-03-24T20:20:49.879Z,2015-03-24T20:20:49.879Z
"Train too crowded to board","Downtown Crossing","Orange Line - Southbound",0,0,2015-02-27T20:35:39.781Z,2015-02-27T20:35:39.781Z
"Train too crowded to board","Alewife","Red Line - Southbound",0,0,2015-05-05T12:28:43.027Z,2015-05-05T12:28:43.027Z
"Delayed train","Tufts Medical Center","Orange Line - Southbound",0,0,2015-03-10T13:48:14.110Z,2015-03-10T13:48:14.110Z
"Normal conditions","Community College","Orange Line - Southbound",0,0,2015-03-30T15:28:06.752Z,2015-03-30T15:28:06.752Z
"Delayed train","Malden Center","Orange Line - Southbound",0,3,2015-02-27T14:51:14.025Z,2015-02-27T14:51:14.025Z
"Overcrowded platform","Downtown Crossing","Orange Line - Northbound",2,0,2015-03-05T22:46:33.470Z,2015-03-05T22:54:51.516Z
"Normal conditions","Downtown Crossing","Red Line - Northbound",1,0,2015-03-03T23:05:23.154Z,2015-03-03T23:18:21.142Z
"Normal conditions","Davis","Red Line - Southbound",0,0,2015-03-26T11:54:04.465Z,2015-03-26T11:54:04.465Z
"Delayed train","Porter Square","Red Line - Southbound",0,0,2015-03-20T20:16:08.675Z,2015-03-20T20:16:08.675Z
"Normal conditions","Wollaston","Red Line - Southbound",0,0,2015-03-06T21:48:11.260Z,2015-03-06T21:48:11.260Z
"Delayed train","Park Street","Green Line D - Westbound",0,0,2015-03-04T20:27:22.183Z,2015-03-04T20:27:22.183Z
"Overcrowded train","Longwood","Green Line D - Westbound",0,0,2015-02-27T23:39:00.823Z,2015-02-27T23:39:00.823Z
"Train stopped between stations","Kendall","Red Line - Southbound",2,2,2015-02-24T22:31:10.443Z,2015-02-24T22:55:05.920Z
"Train standing by at station","North Station","Orange Line - Northbound",1,0,2015-05-01T21:06:16.254Z,2015-05-01T21:11:07.219Z
"Disabled train","State Street","Orange Line - Northbound",1,0,2015-03-03T23:49:32.971Z,2015-03-03T23:51:20.144Z
"Train standing by at station","Wellington","Orange Line - Southbound",0,0,2015-04-04T01:06:56.216Z,2015-04-04T01:06:56.216Z
"Police action","North Station","Orange Line - Northbound",0,0,2015-05-01T20:08:30.586Z,2015-05-01T20:08:30.586Z
"Train stopped between stations","Downtown Crossing","Orange Line - Northbound",0,0,2015-04-15T22:21:19.532Z,2015-04-15T22:21:19.532Z
"Normal conditions","Alewife","Red Line - Southbound",4,0,2015-07-16T11:37:00.338Z,2015-07-16T11:37:10.808Z
"Train too crowded to board","South Station","Red Line - Southbound",0,0,2015-04-15T21:46:40.669Z,2015-04-15T21:46:40.669Z
"Normal conditions","Park Street","Red Line - Southbound",0,0,2015-02-24T04:09:01.938Z,2015-02-24T04:09:01.938Z
"Police action","South Station","Red Line - Southbound",0,1,2015-03-07T21:23:35.186Z,2015-03-07T21:23:35.186Z
"Delayed train","Museum of Fine Arts","Green Line E - Eastbound",0,0,2015-03-23T20:57:47.796Z,2015-03-23T20:57:47.796Z
"Delayed train","Ashmont","Red Line - Northbound",0,0,2015-04-12T12:49:44.666Z,2015-04-12T12:49:44.666Z
"Normal conditions","Downtown Crossing","Orange Line - Northbound",0,0,2015-04-12T21:58:17.547Z,2015-04-12T21:58:17.547Z
"Train standing by at station","Tufts Medical Center","Orange Line - Northbound",1,0,2015-04-07T21:17:00.667Z,2015-04-07T21:19:02.193Z
"Train stopped between stations","Alewife","Red Line - Southbound",0,0,2015-07-01T12:56:52.302Z,2015-07-01T12:56:52.302Z
"Delayed train","Quincy Center","Red Line - Northbound",0,0,2015-04-12T06:04:06.547Z,2015-04-12T06:04:06.547Z
"Train stopped between stations","Massachusetts Ave.","Orange Line - Northbound",0,0,2015-02-28T00:34:34.005Z,2015-02-28T00:34:34.005Z
"Normal conditions","North Quincy","Red Line - Northbound",0,0,2015-03-09T14:06:23.198Z,2015-03-09T14:06:23.198Z
"Delayed train","Downtown Crossing","Orange Line - Southbound",2,0,2015-03-06T20:24:36.477Z,2015-03-06T20:27:23.360Z
"Normal conditions","Central Square","Red Line - Northbound",7,3,2015-02-25T01:20:53.166Z,2015-02-25T02:34:21.825Z
"Delayed train","Mansfield","Providence-Stoughton Line - Inbound",0,0,2015-03-30T11:10:28.331Z,2015-03-30T11:10:28.331Z
"Train too crowded to board","Oak Grove","Orange Line - Northbound",0,0,2015-03-13T16:42:41.517Z,2015-03-13T16:42:41.517Z
"Delayed train","Arlington","Green Line C - Westbound",0,0,2015-03-21T23:47:15.437Z,2015-03-21T23:47:15.437Z
"Delayed train","Alewife","Red Line - Southbound",1,0,2015-02-26T23:15:07.831Z,2015-02-26T23:16:48.389Z
"Train stopped between stations","Charles/MGH","Red Line - Southbound",1,0,2015-06-17T21:31:35.356Z,2015-06-17T21:39:37.115Z
"Train too crowded to board","Kendall","Red Line - Northbound",1,0,2015-03-05T22:16:52.700Z,2015-03-05T22:22:37.608Z
"Disabled train","Charles/MGH","Red Line - Northbound",0,0,2015-05-18T22:50:43.542Z,2015-05-18T22:50:43.542Z
"Overcrowded platform","Cleveland Circle","Green Line C - Eastbound",0,0,2015-04-13T11:44:14.882Z,2015-04-13T11:44:14.882Z
"Disabled train","Central Square","Red Line - Northbound",0,1,2015-02-24T14:23:28.631Z,2015-02-24T14:23:28.631Z
"Normal conditions","Harvard Square","Red Line - Southbound",1,0,2015-03-02T14:12:02.950Z,2015-03-02T14:26:45.995Z
"Train stopped between stations","Charles/MGH","Red Line - Southbound",3,0,2015-08-03T21:17:01.201Z,2015-08-03T21:30:04.332Z
"Train stopped between stations","Boylston","Green Line D - Westbound",0,0,2015-04-23T14:22:41.932Z,2015-04-23T14:22:41.932Z
"Train too crowded to board","Wollaston","Red Line - Northbound",0,0,2015-02-26T12:55:21.088Z,2015-02-26T12:55:21.088Z
"Overcrowded train","Park Street","Red Line - Northbound",4,0,2015-02-25T23:08:10.801Z,2015-02-25T23:14:43.057Z
"Train standing by at station","Porter Square","Red Line - Southbound",0,0,2015-03-18T21:10:45.479Z,2015-03-18T21:10:45.479Z
"Delayed train","Kenmore","Green Line D - Westbound",0,0,2015-03-06T01:11:21.366Z,2015-03-06T01:11:21.366Z
"Delayed train","Providence","Providence-Stoughton Line - Inbound",0,0,2015-04-27T11:51:01.822Z,2015-04-27T11:51:01.822Z
"Train too crowded to board","Central Square","Red Line - Northbound",0,0,2015-03-09T20:59:10.204Z,2015-03-09T20:59:10.204Z
"Normal conditions","South Station","Red Line - Northbound",0,0,2015-05-28T12:17:39.176Z,2015-05-28T12:17:39.176Z
"Train standing by at station","North Quincy","Red Line - Northbound",0,1,2015-04-08T12:17:23.514Z,2015-04-08T12:17:23.514Z
"Delayed train","Davis","Red Line - Southbound",0,0,2015-03-06T23:13:24.952Z,2015-03-06T23:13:24.952Z
"Normal conditions","Dudley Station","SL5 - Inbound",1,0,2015-05-24T13:34:53.071Z,2015-05-24T13:34:59.726Z
"Delayed train","State Street","Orange Line - Southbound",0,0,2015-03-15T22:55:22.616Z,2015-03-15T22:55:22.616Z
"Train stopped between stations","Kendall","Red Line - Southbound",1,0,2015-03-13T21:59:23.561Z,2015-03-13T22:03:09.702Z
"Train too crowded to board","Sullivan Square","Orange Line - Southbound",2,3,2015-02-25T14:07:24.450Z,2015-02-25T14:26:19.784Z
"Train stopped between stations","Downtown Crossing","Orange Line - Southbound",0,3,2015-03-09T11:39:31.668Z,2015-03-09T11:39:31.668Z
"Overcrowded train","Kendall","Red Line - Southbound",0,0,2015-04-08T12:52:16.559Z,2015-04-08T12:52:16.559Z
"Train stopped between stations","Quincy Adams","Red Line - Southbound",0,0,2015-05-26T22:35:48.317Z,2015-05-26T22:35:48.317Z
"Normal conditions","Harvard Square","Red Line - Northbound",0,0,2015-06-28T20:18:21.395Z,2015-06-28T20:18:21.395Z
"Delayed train","Charles/MGH","Red Line - Northbound",2,0,2015-03-02T23:19:14.848Z,2015-03-02T23:23:32.944Z
"Delayed train","Sullivan Square","Orange Line - Southbound",0,0,2015-02-26T21:11:28.188Z,2015-02-26T21:11:28.188Z
"Delayed train","Orient Heights","Blue Line - Southbound",0,0,2015-03-27T12:15:56.808Z,2015-03-27T12:15:56.808Z
"Train stopped between stations","Sullivan Square","Orange Line - Southbound",0,0,2015-05-14T14:37:38.951Z,2015-05-14T14:37:38.951Z
"Police action","South Station","Red Line - Northbound",1,0,2015-02-28T19:48:51.450Z,2015-02-28T19:50:13.342Z
"Normal conditions","Park Street","Red Line - Northbound",0,0,2015-02-25T22:47:29.938Z,2015-02-25T22:47:29.938Z
"Overcrowded platform","Park Street","Red Line - Northbound",2,0,2015-02-25T23:01:44.946Z,2015-02-25T23:12:37.193Z
"Train too crowded to board","Sullivan Square","Orange Line - Southbound",3,0,2015-04-09T12:32:56.556Z,2015-04-09T12:40:36.658Z
"Train standing by at station","Park Street","Red Line - Northbound",0,0,2015-05-22T22:34:11.792Z,2015-05-22T22:34:11.792Z
"Overcrowded platform","Downtown Crossing","Red Line - Northbound",1,0,2015-06-26T21:17:13.355Z,2015-06-26T21:37:02.502Z
"Train too crowded to board","Wellington","Orange Line - Southbound",0,0,2015-03-03T14:01:51.897Z,2015-03-03T14:01:51.897Z
"Train too crowded to board","Sullivan Square","Orange Line - Southbound",1,0,2015-03-19T12:48:29.975Z,2015-03-19T12:54:45.445Z
"Train standing by at station","Fields Corner","Red Line - Northbound",0,0,2015-03-19T10:04:17.709Z,2015-03-19T10:04:17.709Z
"Normal conditions","JFK/UMass","Red Line - Southbound",5,0,2015-02-24T22:03:49.606Z,2015-02-24T23:22:27.323Z
"Train stopped between stations","Kendall","Red Line - Southbound",3,0,2015-03-02T22:51:11.478Z,2015-03-02T22:53:22.711Z
"Delayed train","Park Street","Red Line - Southbound",0,1,2015-02-24T21:18:17.615Z,2015-02-24T21:18:17.615Z
"Medical emergency","Stony Brook","Orange Line - Southbound",0,0,2015-03-09T12:39:23.405Z,2015-03-09T12:39:23.405Z
"Train standing by at station","Kendall","Red Line - Southbound",0,0,2015-05-01T21:15:30.636Z,2015-05-01T21:15:30.636Z
"Disabled train","Park Street","Red Line - Southbound",0,0,2015-07-29T13:46:01.572Z,2015-07-29T13:46:01.572Z
"Delayed train","Downtown Crossing","Orange Line - Southbound",0,0,2015-02-26T21:55:43.617Z,2015-02-26T21:55:43.617Z
"Normal conditions","Ashmont","Red Line - Northbound",0,0,2015-04-03T13:38:38.170Z,2015-04-03T13:38:38.170Z
"Normal conditions","Sullivan Square","Orange Line - Southbound",1,0,2015-03-02T13:02:43.800Z,2015-03-02T13:09:22.452Z
"Overcrowded platform","North Station","Green Line C - Westbound",0,0,2015-03-18T12:46:14.648Z,2015-03-18T12:46:14.648Z
"Train too crowded to board","Central Square","Red Line - Southbound",1,0,2015-02-27T12:38:12.438Z,2015-02-27T12:38:19.098Z
"Train stopped between stations","Broadway","Red Line - Northbound",0,0,2015-04-07T12:16:57.170Z,2015-04-07T12:16:57.170Z
"Train too crowded to board","Sullivan Square","Orange Line - Northbound",1,2,2015-02-25T14:06:36.644Z,2015-02-25T14:12:26.097Z
"Train standing by at station","Central Square","Red Line - Northbound",0,1,2015-06-01T22:05:42.392Z,2015-06-01T22:05:42.392Z
"Train too crowded to board","South Station","Red Line - Northbound",2,0,2015-02-25T14:36:56.233Z,2015-02-25T15:04:32.498Z
"Disabled train","Lechmere","Green Line E - Eastbound",0,0,2015-07-29T23:55:27.360Z,2015-07-29T23:55:27.360Z
"Police action","Wellington","Orange Line - Southbound",1,0,2015-05-22T12:45:14.283Z,2015-05-22T12:48:07.831Z
"Train standing by at station","Back Bay","Orange Line - Northbound",2,0,2015-05-08T22:22:09.586Z,2015-05-08T22:34:57.699Z
"Normal conditions","North Station","Haverhill Line - Outbound",0,0,2015-06-02T22:06:15.981Z,2015-06-02T22:06:15.981Z
"Train stopped between stations","Alewife","Red Line - Southbound",0,0,2015-05-13T21:32:41.307Z,2015-05-13T21:32:41.307Z
"Normal conditions","Alewife","Red Line - Southbound",0,0,2015-05-18T22:46:12.120Z,2015-05-18T22:46:12.120Z
"Normal conditions","Wollaston","Red Line - Northbound",2,0,2015-02-26T12:38:17.465Z,2015-02-26T12:49:23.868Z
"Overcrowded platform","Park Street","Green Line D - Westbound",0,0,2015-03-20T21:44:22.588Z,2015-03-20T21:44:22.588Z
"Overcrowded train","Central Square","Red Line - Southbound",1,0,2015-05-27T12:44:15.738Z,2015-05-27T12:44:21.617Z
"Normal conditions","Park Street","Red Line - Southbound",3,0,2015-02-25T14:26:33.914Z,2015-02-25T14:57:30.521Z
"Train standing by at station","Back Bay","Orange Line - Southbound",1,0,2015-03-30T21:55:50.998Z,2015-03-30T21:56:10.231Z
"Police action","North Station","Orange Line - Northbound",0,0,2015-03-08T21:09:53.234Z,2015-03-08T21:09:53.234Z
"Normal conditions","North Quincy","Red Line - Northbound",0,0,2015-03-17T15:22:59.475Z,2015-03-17T15:22:59.475Z
"Train too crowded to board","Middleborough/Lakeville","Middleborough-Lakeville Line - Inbound",0,0,2015-07-03T21:04:45.028Z,2015-07-03T21:04:45.028Z
"Delayed train","Quincy Center","Red Line - Northbound",1,0,2015-02-26T13:57:45.232Z,2015-02-26T13:59:55.373Z
"Normal conditions","Charles/MGH","Red Line - Northbound",0,0,2015-02-25T14:43:20.723Z,2015-02-25T14:43:20.723Z
"Normal conditions","Central Square","Red Line - Southbound",0,0,2015-03-09T12:48:02.248Z,2015-03-09T12:48:02.248Z
"Train too crowded to board","Tufts Medical Center","Orange Line - Northbound",1,0,2015-03-05T22:46:05.854Z,2015-03-05T22:54:56.792Z
"Normal conditions","Park Street","Green Line E - Eastbound",0,0,2015-02-26T12:24:03.067Z,2015-02-26T12:24:03.067Z
"Train too crowded to board","State Street","Orange Line - Northbound",2,0,2015-03-05T22:40:48.285Z,2015-03-05T22:42:41.401Z
"Delayed train","Providence","Providence-Stoughton Line - Inbound",0,0,2015-04-18T20:52:11.891Z,2015-04-18T20:52:11.891Z
"Train standing by at station","Downtown Crossing","Orange Line - Northbound",1,1,2015-03-23T21:32:30.806Z,2015-03-23T21:32:36.175Z
"Normal conditions","Braintree","Red Line - Northbound",1,0,2015-02-27T13:30:27.972Z,2015-02-27T13:31:05.770Z
"Disabled train","Arlington","Green Line E - Westbound",0,0,2015-03-21T15:53:47.161Z,2015-03-21T15:53:47.161Z
"Delayed train","Alewife","Red Line - Northbound",0,0,2015-02-26T23:49:28.163Z,2015-02-26T23:49:28.163Z
"Delayed train","State Street","Orange Line - Southbound",1,0,2015-05-29T11:51:23.478Z,2015-05-29T11:51:37.166Z
"Delayed train","Kendall","Red Line - Northbound",0,0,2015-04-16T22:20:51.475Z,2015-04-16T22:20:51.475Z
"Overcrowded train","Alewife","Red Line - Northbound",1,1,2015-02-27T20:33:45.567Z,2015-02-27T20:34:00.146Z
"Disabled train","Charles/MGH","Red Line - Northbound",0,0,2015-03-25T20:00:30.299Z,2015-03-25T20:00:30.299Z
"Normal conditions","Washington Square","Green Line C - Westbound",0,0,2015-04-21T05:08:13.590Z,2015-04-21T05:08:13.590Z
"Disabled train","Alewife","Red Line - Southbound",0,0,2015-08-07T21:09:49.579Z,2015-08-07T21:09:49.579Z
"Delayed train","Kenmore","Green Line C - Eastbound",0,0,2015-02-28T16:25:23.691Z,2015-02-28T16:25:23.692Z
"Delayed train","Downtown Crossing","Red Line - Southbound",0,0,2015-02-25T12:56:10.532Z,2015-02-25T12:56:10.532Z
"Medical emergency","Broadway","Red Line - Southbound",0,3,2015-02-26T14:41:53.942Z,2015-02-26T14:41:53.942Z
"Normal conditions","Alewife","Red Line - Southbound",0,0,2015-08-07T21:30:16.141Z,2015-08-07T21:30:16.141Z
"Delayed train","Brookline Hills","Green Line D - Eastbound",0,0,2015-05-23T11:45:32.075Z,2015-05-23T11:45:32.075Z
"Overcrowded train","Harvard Square","Red Line - Northbound",0,0,2015-02-26T01:07:43.999Z,2015-02-26T01:07:43.999Z
"Train stopped between stations","Copley","Green Line D - Westbound",0,0,2015-04-23T14:27:42.905Z,2015-04-23T14:27:42.905Z
"Train standing by at station","Harvard Square","Red Line - Northbound",0,0,2015-03-12T20:54:43.143Z,2015-03-12T20:54:43.143Z
"Normal conditions","North Station","Green Line C - Westbound",0,0,2015-02-27T02:20:50.902Z,2015-02-27T02:20:50.902Z
"Overcrowded platform","Downtown Crossing","Orange Line - Northbound",1,0,2015-04-28T21:30:30.625Z,2015-04-28T21:37:11.041Z
"Delayed train","Malden Center","Orange Line - Southbound",1,0,2015-02-26T21:51:29.427Z,2015-02-26T21:55:54.365Z
"Delayed train","Bowdoin","Blue Line - Northbound",0,0,2015-07-22T23:41:25.442Z,2015-07-22T23:41:25.442Z
"Train too crowded to board","Brookline Hills","Green Line D - Eastbound",0,0,2015-03-03T13:01:01.690Z,2015-03-03T13:01:01.690Z
"Delayed train","Alewife","Red Line - Northbound",0,1,2015-02-27T20:35:14.886Z,2015-02-27T20:35:14.886Z
"Delayed train","Riverside","Green Line D - Eastbound",0,0,2015-04-15T11:45:13.408Z,2015-04-15T11:45:13.408Z
"Train too crowded to board","Porter Square","Red Line - Southbound",1,0,2015-03-04T13:17:12.881Z,2015-03-04T13:23:28.979Z
"Delayed train","Readville","Franklin Line - Inbound",0,0,2015-04-29T12:44:32.655Z,2015-04-29T12:44:32.655Z
"Train too crowded to board","Brookline Hills","Green Line D - Eastbound",0,0,2015-03-02T13:25:20.740Z,2015-03-02T13:25:20.740Z
"Delayed train","Charles/MGH","Red Line - Southbound",1,0,2015-03-10T23:52:55.123Z,2015-03-10T23:58:45.864Z
"Train too crowded to board","Copley","Green Line D - Westbound",1,0,2015-06-29T21:43:01.602Z,2015-06-29T21:55:16.663Z
"Delayed train","Central Square","Red Line - Northbound",0,0,2015-03-19T21:01:24.123Z,2015-03-19T21:01:24.123Z
"Train too crowded to board","Haymarket","Orange Line - Northbound",1,1,2015-03-23T21:28:54.714Z,2015-03-23T21:30:55.511Z
"Normal conditions","South Station","Red Line - Northbound",0,0,2015-04-16T13:00:14.226Z,2015-04-16T13:00:14.226Z
"Overcrowded train","Kenmore","Green Line D - Eastbound",0,0,2015-02-26T12:28:38.427Z,2015-02-26T12:28:38.427Z
"Normal conditions","Braintree","Red Line - Northbound",0,0,2015-03-02T13:35:11.964Z,2015-03-02T13:35:11.964Z
"Train stopped between stations","Charles/MGH","Red Line - Southbound",0,0,2015-04-29T22:00:44.205Z,2015-04-29T22:00:44.205Z
"Delayed train","Charles/MGH","Red Line - Southbound",1,1,2015-02-26T14:35:25.282Z,2015-02-26T14:41:30.182Z
"Train stopped between stations","Park Street","Green Line C - Westbound",0,0,2015-03-05T03:15:45.689Z,2015-03-05T03:15:45.689Z
"Train stopped between stations","Central Square","Red Line - Southbound",1,0,2015-05-19T20:50:12.128Z,2015-05-19T20:50:27.640Z
"Normal conditions","Tufts Medical Center","Orange Line - Southbound",0,0,2015-03-01T22:42:30.113Z,2015-03-01T22:42:30.113Z
